Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-05-24 15:39:30.283915,"[3738184559, 3738184559, 3738184559]",Sparse,300,1,0.005,0.079107,58350
2023-05-24 15:39:31.053228,"[1352611134, 1352611134, 1352611134]",Dense sharing,300,1,0.01,0.004668,17433
2023-05-24 15:39:31.058268,"[1352611134, 1352611134, 1352611134]",Dense,300,1,0.01,0.001211,372
2023-05-24 15:39:31.753962,"[1352611134, 1352611134, 1352611134]",Sparse sharing,300,1,0.01,0.002099,2832
2023-05-24 15:39:31.756428,"[1352611134, 1352611134, 1352611134]",Sparse,300,1,0.01,0.085677,75714
2023-05-24 15:39:32.477304,"[3977484203, 3977484203, 3977484203]",Dense sharing,500,1,0.0001,0.00678,28635
2023-05-24 15:39:32.484438,"[3977484203, 3977484203, 3977484203]",Dense,500,1,0.0001,0.001276,372
2023-05-24 15:39:33.187674,"[3977484203, 3977484203, 3977484203]",Sparse sharing,500,1,0.0001,0.000128,0
2023-05-24 15:39:33.188208,"[3977484203, 3977484203, 3977484203]",Sparse,500,1,0.0001,0.000464,26
2023-05-24 15:39:33.903707,"[3121471085, 3121471085, 3121471085]",Dense sharing,500,1,0.001,0.006767,28626
2023-05-24 15:39:33.910930,"[3121471085, 3121471085, 3121471085]",Dense,500,1,0.001,0.001341,372
2023-05-24 15:39:34.558398,"[3121471085, 3121471085, 3121471085]",Sparse sharing,500,1,0.001,0.000124,0
2023-05-24 15:39:34.558893,"[3121471085, 3121471085, 3121471085]",Sparse,500,1,0.001,0.000452,26
2023-05-24 15:39:35.185271,"[4211496327, 4211496327, 4211496327]",Dense sharing,500,1,0.005,0.006778,28634
2023-05-24 15:39:35.192393,"[4211496327, 4211496327, 4211496327]",Dense,500,1,0.005,0.001207,372
2023-05-24 15:39:35.916584,"[4211496327, 4211496327, 4211496327]",Sparse sharing,500,1,0.005,0.001965,2120
2023-05-24 15:39:35.918907,"[4211496327, 4211496327, 4211496327]",Sparse,500,1,0.005,0.082033,58354
2023-05-24 15:39:36.710746,"[1140632852, 1140632852, 1140632852]",Dense sharing,500,1,0.01,0.006853,28638
2023-05-24 15:39:36.717953,"[1140632852, 1140632852, 1140632852]",Dense,500,1,0.01,0.001396,372
2023-05-24 15:39:37.407360,"[1140632852, 1140632852, 1140632852]",Sparse sharing,500,1,0.01,0.004041,4256
2023-05-24 15:39:37.411898,"[1140632852, 1140632852, 1140632852]",Sparse,500,1,0.01,0.120548,110429
2023-05-24 15:39:38.235656,"[3952658540, 3952658540, 3952658540]",Dense sharing,700,1,0.0001,0.008809,39836
2023-05-24 15:39:38.244801,"[3952658540, 3952658540, 3952658540]",Dense,700,1,0.0001,0.001312,372
2023-05-24 15:39:38.883340,"[3952658540, 3952658540, 3952658540]",Sparse sharing,700,1,0.0001,0.000125,0
2023-05-24 15:39:38.883844,"[3952658540, 3952658540, 3952658540]",Sparse,700,1,0.0001,0.000424,26
2023-05-24 15:39:39.519201,"[1818790474, 1818790474, 1818790474]",Dense sharing,700,1,0.001,0.00882,39835
2023-05-24 15:39:39.528388,"[1818790474, 1818790474, 1818790474]",Dense,700,1,0.001,0.001365,372
2023-05-24 15:39:40.165578,"[1818790474, 1818790474, 1818790474]",Sparse sharing,700,1,0.001,0.002556,1464
2023-05-24 15:39:40.168616,"[1818790474, 1818790474, 1818790474]",Sparse,700,1,0.001,0.111177,44813
