Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-05-03 15:29:11.570672,"[2345664438, 2345664438, 2345664438]",Dense,1000,1000,0.001,183.055029,28000170
2023-05-03 15:32:16.086467,"[2345664438, 2345664438, 2345664438]",Sparse sharing,1000,1000,0.001,0.625703,1075023
2023-05-03 15:32:16.712737,"[2345664438, 2345664438, 2345664438]",Sparse,1000,1000,0.001,18.121207,37721461
2023-05-03 15:32:35.488318,"[2345664438, 2345664438, 2345664438]",Sparse sharing,1000,1000,0.005,1.591603,3995203
2023-05-03 15:32:37.080924,"[2345664438, 2345664438, 2345664438]",Sparse,1000,1000,0.005,309.89042,565591980
2023-05-03 15:37:47.763233,"[2345664438, 2345664438, 2345664438]",Sparse sharing,1000,1000,0.01,2.404445,7358041
2023-05-03 15:37:50.168599,"[2345664438, 2345664438, 2345664438]",Sparse,1000,1000,0.01,1191.269941,2078908521
2023-05-03 15:57:42.320674,"[80740328, 80740328, 80740328]",Dense sharing,1000,3000,0.001,35.982466,168000439
2023-05-03 15:58:19.343286,"[80740328, 80740328, 80740328]",Dense,1000,3000,0.001,1481.873332,252000102
2023-05-03 16:23:09.158549,"[80740328, 80740328, 80740328]",Sparse sharing,1000,3000,0.001,1.262492,2965118
2023-05-03 16:23:10.422284,"[80740328, 80740328, 80740328]",Sparse,1000,3000,0.001,136.940004,251468106
